1a	"Storyteller1, Storyteller, Poona,"
2a	"Storyteller, Poona, MSA, Penis, Prince"
2b	"Poona, Prince"
2c	"Poona, Rabbit, Storyteller"
3a	"Shrub, Stagehands"
3b	"Poona, Prince, Rabbit, Guard"
3c	"Shrub, Stagehands"
4a	"Jasper, Cunt, Shrub,"
5a	"Mr Beer, TV, Telegram, Citizens, Stagehand"
6a	"Storyteller, Poona, Guard, Prince, Frog,"
7a	"TV, Aide, Poona, Intercom Voice"
7b	Penis
7c	"TV, Poona, Aide, Reporter"
8a	MSA
8b	"Storyteller, Poona"
9a	"TV, Jasper, Cunt"
10a	"Storyteller, Jack, TV, Prince, Aide, Mike, Gabby, Devil"
11a	"Jack, God, Gabby"
12a	"Poona, TV"
12b	"Penis, Poona"
13a	"MSA, Poona, Shrub, Frog, Box, Kid, Angel"
14a	"Storyteller, Poona, Jasper, Cunt"
15a	"Suzy-Suzy, Storyteller, Computer, Cops, Mom"
16a	"Jasper, Cunt"
17a	"Storyteller, Poona,"
18a	"Frog, Poona, Rabbit, Prince, God, Jack"
19a	"MSA, Frog, Sparky"
20a	"Storyteller, Poona, Somebody"
20b	"Penis, Band, Stagehands"
20c	"Poona, Shrub, MSA, Rabbit, Prince"
20d	Everyone
20e	"Jasper, Cunt, Shrub"
